All India Item Inflation Rates (Base 2012=100)
Year,Month,Item-Code,Description,Combined Inflation,Status,
2015,January,6.1.06.2.1.01.0,gold,-7.36,F,
2015,February,6.1.06.2.1.01.0,gold,-8.65,F,
2015,March,6.1.06.2.1.01.0,gold,-10.44,F,
2015,April,6.1.06.2.1.01.0,gold,-8.39,F,
2015,May,6.1.06.2.1.01.0,gold,-6.65,F,
2015,June,6.1.06.2.1.01.0,gold,-2.96,F,
2015,July,6.1.06.2.1.01.0,gold,-7.20,F,
2015,August,6.1.06.2.1.01.0,gold,-8.72,F,
2015,September,6.1.06.2.1.01.0,gold,-4.17,F,
2015,October,6.1.06.2.1.01.0,gold,-2.48,F,
2015,November,6.1.06.2.1.01.0,gold,-1.78,F,
2015,December,6.1.06.2.1.01.0,gold,-4.17,F,
2016,January,6.1.06.2.1.01.0,gold,-4.29,F,
2016,February,6.1.06.2.1.01.0,gold,1.94,F,
2016,March,6.1.06.2.1.01.0,gold,6.27,F,
2016,April,6.1.06.2.1.01.0,gold,7.09,F,
2016,May,6.1.06.2.1.01.0,gold,8.31,F,
2016,June,6.1.06.2.1.01.0,gold,9.03,F,
2016,July,6.1.06.2.1.01.0,gold,15.52,F,
2016,August,6.1.06.2.1.01.0,gold,18.77,F,
2016,September,6.1.06.2.1.01.0,gold,16.95,F,
2016,October,6.1.06.2.1.01.0,gold,13.47,F,
2016,November,6.1.06.2.1.01.0,gold,16.61,F,
2016,December,6.1.06.2.1.01.0,gold,10.98,F,
2017,January,6.1.06.2.1.01.0,gold,10.09,F,
2017,February,6.1.06.2.1.01.0,gold,5.70,F,
2017,March,6.1.06.2.1.01.0,gold,3.00,F,
2017,April,6.1.06.2.1.01.0,gold,1.73,F,
2017,May,6.1.06.2.1.01.0,gold,-1.89,F,
2017,June,6.1.06.2.1.01.0,gold,-1.20,F,
2017,July,6.1.06.2.1.01.0,gold,-4.97,F,
2017,August,6.1.06.2.1.01.0,gold,-5.27,F,
2017,September,6.1.06.2.1.01.0,gold,-3.43,F,
2017,October,6.1.06.2.1.01.0,gold,-1.26,F,
2017,November,6.1.06.2.1.01.0,gold,-1.74,F,
2017,December,6.1.06.2.1.01.0,gold,2.58,F,
2018,January,6.1.06.2.1.01.0,gold,3.56,F,
2018,February,6.1.06.2.1.01.0,gold,3.30,F,
2018,March,6.1.06.2.1.01.0,gold,4.42,F,
2018,April,6.1.06.2.1.01.0,gold,5.51,F,
2018,May,6.1.06.2.1.01.0,gold,7.92,F,
2018,June,6.1.06.2.1.01.0,gold,6.77,F,
2018,July,6.1.06.2.1.01.0,gold,6.97,F,
2018,August,6.1.06.2.1.01.0,gold,3.84,F,
2018,September,6.1.06.2.1.01.0,gold,2.96,F,
2018,October,6.1.06.2.1.01.0,gold,4.83,F,
2018,November,6.1.06.2.1.01.0,gold,4.24,F,
2018,December,6.1.06.2.1.01.0,gold,7.04,F,
2019,January,6.1.06.2.1.01.0,gold,7.28,F,
2019,February,6.1.06.2.1.01.0,gold,8.80,F,
2019,March,6.1.06.2.1.01.0,gold,5.97,F,
2019,April,6.1.06.2.1.01.0,gold,3.32,F,
2019,May,6.1.06.2.1.01.0,gold,2.92,F,
2019,June,6.1.06.2.1.01.0,gold,6.34,F,
2019,July,6.1.06.2.1.01.0,gold,11.21,F,
2019,August,6.1.06.2.1.01.0,gold,21.32,F,
2019,September,6.1.06.2.1.01.0,gold,22.91,F,
2019,October,6.1.06.2.1.01.0,gold,21.33,F,
2019,November,6.1.06.2.1.01.0,gold,22.71,F,
2019,December,6.1.06.2.1.01.0,gold,21.88,F,
2020,January,6.1.06.2.1.01.0,gold,24.20,F,
2020,February,6.1.06.2.1.01.0,gold,23.91,F,
2020,June,6.1.06.2.1.01.0,gold,42.88,F,
2020,July,6.1.06.2.1.01.0,gold,45.05,F,
2020,August,6.1.06.2.1.01.0,gold,44.70,F,
2020,September,6.1.06.2.1.01.0,gold,35.73,F,
2020,October,6.1.06.2.1.01.0,gold,33.85,F,
2020,November,6.1.06.2.1.01.0,gold,33.00,F,
2020,December,6.1.06.2.1.01.0,gold,30.66,F,
2021,January,6.1.06.2.1.01.0,gold,25.46,F,
2021,February,6.1.06.2.1.01.0,gold,16.64,F,
2021,July,6.1.06.2.1.01.0,gold,-2.73,F,
2021,August,6.1.06.2.1.01.0,gold,-10.09,F,
2021,September,6.1.06.2.1.01.0,gold,-7.70,F,
2021,October,6.1.06.2.1.01.0,gold,-6.37,F,
2021,November,6.1.06.2.1.01.0,gold,-4.52,F,
2021,December,6.1.06.2.1.01.0,gold,-3.07,F,
2022,January,6.1.06.2.1.01.0,gold,-3.41,F,
2022,February,6.1.06.2.1.01.0,gold,2.34,F,
2022,March,6.1.06.2.1.01.0,gold,11.96,F,
2022,April,6.1.06.2.1.01.0,gold,10.64,F,
2022,May,6.1.06.2.1.01.0,gold,5.01,F,
2022,June,6.1.06.2.1.01.0,gold,5.19,F,
2022,July,6.1.06.2.1.01.0,gold,4.03,F,
2022,August,6.1.06.2.1.01.0,gold,6.42,F,
2022,September,6.1.06.2.1.01.0,gold,5.35,F,
2022,October,6.1.06.2.1.01.0,gold,5.32,F,
2022,November,6.1.06.2.1.01.0,gold,5.04,F,
2022,December,6.1.06.2.1.01.0,gold,8.76,F,
2023,January,6.1.06.2.1.01.0,gold,13.28,F,
2023,February,6.1.06.2.1.01.0,gold,13.64,F,
2023,March,6.1.06.2.1.01.0,gold,10.68,F,
2023,April,6.1.06.2.1.01.0,gold,13.82,F,
2023,May,6.1.06.2.1.01.0,gold,18.16,F,
2023,June,6.1.06.2.1.01.0,gold,16.14,F,
2023,July,6.1.06.2.1.01.0,gold,16.73,F,
2023,August,6.1.06.2.1.01.0,gold,15.07,F,
2023,September,6.1.06.2.1.01.0,gold,17.49,F,
2023,October,6.1.06.2.1.01.0,gold,16.55,F,
2023,November,6.1.06.2.1.01.0,gold,17.51,F,
2023,December,6.1.06.2.1.01.0,gold,15.94,F,
2024,January,6.1.06.2.1.01.0,gold,12.15,F,
2024,February,6.1.06.2.1.01.0,gold,10.21,F,
2024,March,6.1.06.2.1.01.0,gold,12.94,F,
2024,April,6.1.06.2.1.01.0,gold,17.79,F,
2024,May,6.1.06.2.1.01.0,gold,18.23,F,
2024,June,6.1.06.2.1.01.0,gold,19.80,F,
2024,July,6.1.06.2.1.01.0,gold,20.81,F,
2024,August,6.1.06.2.1.01.0,gold,19.60,F,
2024,September,6.1.06.2.1.01.0,gold,22.99,F,
2024,October,6.1.06.2.1.01.0,gold,28.95,F,
2024,November,6.1.06.2.1.01.0,gold,26.66,F,
2024,December,6.1.06.2.1.01.0,gold,24.07,F,
2025,January,6.1.06.2.1.01.0,gold,26.37,F,
